Attribute,Description,Value,Meaning
D19_TELKO_OFFLINE_DATUM,actuality of the last transaction for the segment telecommunication OFFLINE,10,no transactions known
D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,1,highest activity within the last 12 months
D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,2,very high activity within the last 12 months
D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,3,high activity within the last 12 months
D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,4,increased activity within the last 12 months
D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,5,slightly increased activity within the last 12 months
D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,6,activity elder than 1 year
D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,7,"activity elder than 1,5 years"
D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,8,activity elder than 2 years
D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,9,activity elder than 3 years
D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,10,no transactions known
D19_TELKO_REST_RZ,transactional activity based on the product group FURTHER MOBILE COMMUNICATION PRODUCTS,0,no transaction known
D19_TELKO_REST_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_TELKO_REST_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_TELKO_REST_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_TELKO_REST_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_TELKO_REST_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_TELKO_REST_RZ, - on grid level -,6,Buyer > 24 months
D19_TELKO_REST_RZ, - on grid level -,7,Prospects > 24 months
D19_TIERARTIKEL_RZ,transactional activity based on the product group ANIMAL PRODUCTS,0,no transaction known
D19_TIERARTIKEL_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_TIERARTIKEL_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_TIERARTIKEL_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_TIERARTIKEL_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_TIERARTIKEL_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_TIERARTIKEL_RZ, - on grid level -,6,Buyer > 24 months
D19_TIERARTIKEL_RZ, - on grid level -,7,Prospects > 24 months
D19_VERSAND_ANZ_12,transaction activity MAIL-ORDER in the last 12 months,0,no transactions known
D19_VERSAND_ANZ_12,transaction activity MAIL-ORDER in the last 12 months,1,very low activity
D19_VERSAND_ANZ_12,transaction activity MAIL-ORDER in the last 12 months,2,low activity
D19_VERSAND_ANZ_12,transaction activity MAIL-ORDER in the last 12 months,3,slightly increased activity
D19_VERSAND_ANZ_12,transaction activity MAIL-ORDER in the last 12 months,4,increased activity
D19_VERSAND_ANZ_12,transaction activity MAIL-ORDER in the last 12 months,5,high activity
D19_VERSAND_ANZ_12,transaction activity MAIL-ORDER in the last 12 months,6,very high activity
D19_VERSAND_ANZ_24,transaction activity MAIL-ORDER in the last 24 months,0,no transactions known
D19_VERSAND_ANZ_24,transaction activity MAIL-ORDER in the last 24 months,1,very low activity
D19_VERSAND_ANZ_24,transaction activity MAIL-ORDER in the last 24 months,2,low activity
D19_VERSAND_ANZ_24,transaction activity MAIL-ORDER in the last 24 months,3,slightly increased activity
D19_VERSAND_ANZ_24,transaction activity MAIL-ORDER in the last 24 months,4,increased activity
D19_VERSAND_ANZ_24,transaction activity MAIL-ORDER in the last 24 months,5,high activity
D19_VERSAND_ANZ_24,transaction activity MAIL-ORDER in the last 24 months,6,very high activity
D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,1,highest activity within the last 12 months
D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,2,very high activity within the last 12 months
D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,3,high activity within the last 12 months
D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,4,increased activity within the last 12 months
D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,5,slightly increased activity within the last 12 months
D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,6,activity elder than 1 year
D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,7,"activity elder than 1,5 years"
D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,8,activity elder than 2 years
D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,9,activity elder than 3 years
D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,10,no transactions known
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,1,highest activity within the last 12 months
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,2,very high activity within the last 12 months
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,3,high activity within the last 12 months
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,4,increased activity within the last 12 months
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,5,slightly increased activity within the last 12 months
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,6,activity elder than 1 year
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,7,"activity elder than 1,5 years"
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,8,activity elder than 2 years
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,9,activity elder than 3 years
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,10,no transactions known
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,1,highest activity within the last 12 months
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,2,very high activity within the last 12 months
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,3,high activity within the last 12 months
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,4,increased activity within the last 12 months
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,5,slightly increased activity within the last 12 months
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,6,activity elder than 1 year
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,7,"activity elder than 1,5 years"
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,8,activity elder than 2 years
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,9,activity elder than 3 years
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,10,no transactions known
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,0,no Online-transactions within the last 12 months
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,1,10% Online-transactions within the last 12 months
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,2,20% Online-transactions within the last 12 months
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,3,30% Online-transactions within the last 12 months
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,4,40% Online-transactions within the last 12 months
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,5,50% Online-transactions within the last 12 months
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,6,60% Online-transactions within the last 12 months
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,7,70% Online-transactions within the last 12 months
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,8,80% Online-transactions within the last 12 months
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,9,90% Online-transactions within the last 12 months
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,10,100% Online-transactions within the last 12 months
D19_VERSAND_REST_RZ,transactional activity based on the product group FURTHER MAIL-ORDER ARTICLES,0,no transaction known
D19_VERSAND_REST_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_VERSAND_REST_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_VERSAND_REST_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_VERSAND_REST_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_VERSAND_REST_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_VERSAND_REST_RZ, - on grid level -,6,Buyer > 24 months
D19_VERSAND_REST_RZ, - on grid level -,7,Prospects > 24 months
D19_VERSICHERUNGEN_RZ,transactional activity based on the product group INSURANCES,0,no transaction known
D19_VERSICHERUNGEN_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_VERSICHERUNGEN_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_VERSICHERUNGEN_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_VERSICHERUNGEN_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_VERSICHERUNGEN_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_VERSICHERUNGEN_RZ, - on grid level -,6,Buyer > 24 months
D19_VERSICHERUNGEN_RZ, - on grid level -,7,Prospects > 24 months
D19_VERSI_ANZ_12,transaction activity INSURANCE in the last 12 months,0,no transactions known
D19_VERSI_ANZ_12,transaction activity INSURANCE in the last 12 months,1,very low activity
D19_VERSI_ANZ_12,transaction activity INSURANCE in the last 12 months,2,low activity
D19_VERSI_ANZ_12,transaction activity INSURANCE in the last 12 months,3,slightly increased activity
D19_VERSI_ANZ_12,transaction activity INSURANCE in the last 12 months,4,increased activity
D19_VERSI_ANZ_12,transaction activity INSURANCE in the last 12 months,5,high activity
D19_VERSI_ANZ_12,transaction activity INSURANCE in the last 12 months,6,very high activity
D19_VERSI_ANZ_24,transaction activity INSURANCE in the last 24 months,0,no transactions known
D19_VERSI_ANZ_24,transaction activity INSURANCE in the last 24 months,1,very low activity
D19_VERSI_ANZ_24,transaction activity INSURANCE in the last 24 months,2,low activity
D19_VERSI_ANZ_24,transaction activity INSURANCE in the last 24 months,3,slightly increased activity
D19_VERSI_ANZ_24,transaction activity INSURANCE in the last 24 months,4,increased activity
D19_VERSI_ANZ_24,transaction activity INSURANCE in the last 24 months,5,high activity
D19_VERSI_ANZ_24,transaction activity INSURANCE in the last 24 months,6,very high activity
D19_VOLLSORTIMENT_RZ,transactional activity based on the product group COMPLETE MAIL-ORDER OFFERS,0,no transaction known
D19_VOLLSORTIMENT_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_VOLLSORTIMENT_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_VOLLSORTIMENT_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_VOLLSORTIMENT_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_VOLLSORTIMENT_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_VOLLSORTIMENT_RZ, - on grid level -,6,Buyer > 24 months
D19_VOLLSORTIMENT_RZ, - on grid level -,7,Prospects > 24 months
D19_WEIN_FEINKOST_RZ,transactional activity based on the product group WINE AND GOURMET FOOD,0,no transaction known
D19_WEIN_FEINKOST_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_WEIN_FEINKOST_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_WEIN_FEINKOST_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_WEIN_FEINKOST_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_WEIN_FEINKOST_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_WEIN_FEINKOST_RZ, - on grid level -,6,Buyer > 24 months
D19_WEIN_FEINKOST_RZ, - on grid level -,7,Prospects > 24 months
EWDICHTE,density of inhabitants per square kilometer,-1,unknown
EWDICHTE,density of inhabitants per square kilometer,1,less than 34 HH/km_
EWDICHTE,density of inhabitants per square kilometer,2,34 - 89 HH/km_
EWDICHTE,density of inhabitants per square kilometer,3,90 - 149 HH/km_
EWDICHTE,density of inhabitants per square kilometer,4,150 - 319 HH/km_
EWDICHTE,density of inhabitants per square kilometer,5,320 - 999 HH/km_
EWDICHTE,density of inhabitants per square kilometer,6,more than 999 HH/_
FINANZTYP,best descirbing financial type for the person,-1,unknown
FINANZTYP,best descirbing financial type for the person,1,low finacial interest
FINANZTYP,best descirbing financial type for the person,2,money saver
FINANZTYP,best descirbing financial type for the person,3,main focus is the own house
FINANZTYP,best descirbing financial type for the person,4,be prepared
FINANZTYP,best descirbing financial type for the person,5,Investor
FINANZTYP,best descirbing financial type for the person,6,unremarkable
FINANZ_ANLEGER,financial typology: investor,-1,unknown
FINANZ_ANLEGER,financial typology: investor,1,very high
FINANZ_ANLEGER,financial typology: investor,2,high
FINANZ_ANLEGER,financial typology: investor,3,average
FINANZ_ANLEGER,financial typology: investor,4,low
FINANZ_ANLEGER,financial typology: investor,5,very low
FINANZ_HAUSBAUER,financial typology: main focus is the own house,-1,unknown
FINANZ_HAUSBAUER,financial typology: main focus is the own house,1,very high
FINANZ_HAUSBAUER,financial typology: main focus is the own house,2,high
FINANZ_HAUSBAUER,financial typology: main focus is the own house,3,average
FINANZ_HAUSBAUER,financial typology: main focus is the own house,4,low
FINANZ_HAUSBAUER,financial typology: main focus is the own house,5,very low
FINANZ_MINIMALIST,financial typology: low financial interest,-1,unknown
FINANZ_MINIMALIST,financial typology: low financial interest,1,very high
FINANZ_MINIMALIST,financial typology: low financial interest,2,high
FINANZ_MINIMALIST,financial typology: low financial interest,3,average
FINANZ_MINIMALIST,financial typology: low financial interest,4,low
FINANZ_MINIMALIST,financial typology: low financial interest,5,very low
FINANZ_SPARER,financial typology: money saver,-1,unknown
FINANZ_SPARER,financial typology: money saver,1,very high
FINANZ_SPARER,financial typology: money saver,2,high
FINANZ_SPARER,financial typology: money saver,3,average
FINANZ_SPARER,financial typology: money saver,4,low
FINANZ_SPARER,financial typology: money saver,5,very low
FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,-1,unknown
FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,1,very high
FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,2,high
FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,3,average
FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,4,low
FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,5,very low
FINANZ_VORSORGER,financial typology: be prepared,-1,unknown
FINANZ_VORSORGER,financial typology: be prepared,1,very high
FINANZ_VORSORGER,financial typology: be prepared,2,high
FINANZ_VORSORGER,financial typology: be prepared,3,average
FINANZ_VORSORGER,financial typology: be prepared,4,low
FINANZ_VORSORGER,financial typology: be prepared,5,very low
GEBAEUDETYP,type of building (residential or commercial),"-1, 0",unknown
GEBAEUDETYP,type of building (residential or commercial),1,residental building
GEBAEUDETYP,type of building (residential or commercial),2,residental building buildings without actually known household
GEBAEUDETYP,type of building (residential or commercial),3,mixed (=residential and company) building 
GEBAEUDETYP,type of building (residential or commercial),4,mixed building without actually known household or comapny 
GEBAEUDETYP,type of building (residential or commercial),5,company building w/o known company 
GEBAEUDETYP,type of building (residential or commercial),6,mixed building without actually known household 
GEBAEUDETYP,type of building (residential or commercial),7,company building
GEBAEUDETYP,type of building (residential or commercial),8,mixed building without actually known company 
GEBAEUDETYP_RASTER,industrial areas,1,business cell
GEBAEUDETYP_RASTER,industrial areas,2,mixed cell with high business share
GEBAEUDETYP_RASTER,industrial areas,3,mixed cell with middle business share
GEBAEUDETYP_RASTER,industrial areas,4,mixed cell with low business share
GEBAEUDETYP_RASTER,industrial areas,5,residential cell
GEBURTSJAHR,year of birth,,numeric value
GFK_URLAUBERTYP,vacation habits,1,Event travelers
GFK_URLAUBERTYP,vacation habits,2,Family-oriented vacationists
GFK_URLAUBERTYP,vacation habits,3,Winter sportspeople
GFK_URLAUBERTYP,vacation habits,4,Culture lovers
GFK_URLAUBERTYP,vacation habits,5,Nature fans
GFK_URLAUBERTYP,vacation habits,6,Hiker
GFK_URLAUBERTYP,vacation habits,7,Golden ager
GFK_URLAUBERTYP,vacation habits,8,Homeland-connected vacationists 
GFK_URLAUBERTYP,vacation habits,9,Package tour travelers
GFK_URLAUBERTYP,vacation habits,10,Connoisseurs
GFK_URLAUBERTYP,vacation habits,11,Active families
GFK_URLAUBERTYP,vacation habits,12,without vacation
GEOSCORE_KLS7,microgeographical risk index concerning population solvency,"-1, 0",unknown
GEOSCORE_KLS7,microgeographical risk index concerning population solvency,1,almost no risk
GEOSCORE_KLS7,microgeographical risk index concerning population solvency,2,risk below average
GEOSCORE_KLS7,microgeographical risk index concerning population solvency,3,risk slightly below average
GEOSCORE_KLS7,microgeographical risk index concerning population solvency,4,average risk
GEOSCORE_KLS7,microgeographical risk index concerning population solvency,5,risk slightly above average
GEOSCORE_KLS7,microgeographical risk index concerning population solvency,6,risk above average
GEOSCORE_KLS7,microgeographical risk index concerning population solvency,7,highest risk
GREEN_AVANTGARDE,Green avantgarde,0,doesn't belong to the green avantgarde
GREEN_AVANTGARDE,the environmental sustainability is the dominating movement in the youth of these consumers,1,belongs to the green avantgarde
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)","-1, 0",unknown
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)",1,"single-person-houshold, male, w/o child "
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)",2,"single-person-houshold, female, w/o child "
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)",3,"single-person-houshold, w/ child"
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)",4,more-person-household with similar title and dissimilar surname (indication of flat share or similar) 
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)",5,more-person-household with similar title and similar surname (indication of generation-HH or similar) 
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)",6,"more-person-household with dissimilar title and dissimilar surname w/o child (married couples, flat sharing or respectively couples with dissimal surname w/o child)  "
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)",7,more-person-household with dissimilar title and similar surname w/o child (families w/o child) 
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)",8,"more-person-household with dissimilar title and dissimilar surname w child (married couples, flat sharing or respectively couples with dissimal surname w child) "
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)",9,more-person-household with dissimilar title and similar surname w child (family w child) 
HEALTH_TYP,health typology,-1,unknown
HEALTH_TYP,health typology,0,classification not possible
HEALTH_TYP,health typology,1,critical reserved 
HEALTH_TYP,health typology,2,sanitary affine  
HEALTH_TYP,health typology,3,jaunty hedonists 
HH_EINKOMMEN_SCORE,estimated household net income ,"-1, 0",unknown
HH_EINKOMMEN_SCORE,estimated household net income ,1,highest income
HH_EINKOMMEN_SCORE,estimated household net income ,2,very high income
HH_EINKOMMEN_SCORE,estimated household net income ,3,high income
HH_EINKOMMEN_SCORE,estimated household net income ,4,average income
HH_EINKOMMEN_SCORE,estimated household net income ,5,lower income
HH_EINKOMMEN_SCORE,estimated household net income ,6,very low income
INNENSTADT,distance to the city centre,-1,unknown
INNENSTADT,distance to the city centre,1,city centre
INNENSTADT,distance to the city centre,2,distance to the city centre 3 km
INNENSTADT,distance to the city centre,3,distance to the city centre 3-5 km
INNENSTADT,distance to the city centre,4,distance to the city centre 5-10 km
INNENSTADT,distance to the city centre,5,distance to the city centre 10-20 km
INNENSTADT,distance to the city centre,6,distance to the city centre 20-30 km
INNENSTADT,distance to the city centre,7,distance to the city centre 30-40 km
INNENSTADT,distance to the city centre,8,distance to the city centre > 40 km
KBA05_ALTER1,share of car owners less than 31 years old,"-1, 9",unknown
KBA05_ALTER1,share of car owners less than 31 years old,0,none
KBA05_ALTER1,share of car owners less than 31 years old,1,low
KBA05_ALTER1,share of car owners less than 31 years old,2,average
KBA05_ALTER1,share of car owners less than 31 years old,3,high
KBA05_ALTER1,share of car owners less than 31 years old,4,very high
KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,"-1, 9",unknown
KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,1,very low
KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,2,low
KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,3,average
KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,4,high
KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,5,very high
KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,"-1, 9",unknown
KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,1,very low
KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,2,low
KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,3,average
KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,4,high
KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,5,very high
KBA05_ALTER4,share of cars owners elder than 61 years,"-1, 9",unknown
KBA05_ALTER4,share of cars owners elder than 61 years,0,none
KBA05_ALTER4,share of cars owners elder than 61 years,1,very low
KBA05_ALTER4,share of cars owners elder than 61 years,2,low
KBA05_ALTER4,share of cars owners elder than 61 years,3,average
KBA05_ALTER4,share of cars owners elder than 61 years,4,high
KBA05_ALTER4,share of cars owners elder than 61 years,5,very high
KBA05_ANHANG,share of trailers in the microcell,"-1, 9",unknown
KBA05_ANHANG,share of trailers in the microcell,0,none
KBA05_ANHANG,share of trailers in the microcell,1,some
KBA05_ANHANG,share of trailers in the microcell,2,some more
KBA05_ANHANG,share of trailers in the microcell,3,very many
KBA05_ANTG1,number of 1-2 family houses in the cell,-1,unknown
KBA05_ANTG1,number of 1-2 family houses in the cell,0,no 1-2 family homes
KBA05_ANTG1,number of 1-2 family houses in the cell,1,lower share of 1-2 family homes
KBA05_ANTG1,number of 1-2 family houses in the cell,2,average share of 1-2 family homes
KBA05_ANTG1,number of 1-2 family houses in the cell,3,high share of 1-2 family homes
KBA05_ANTG1,number of 1-2 family houses in the cell,4,very high share of 1-2 family homes
KBA05_ANTG2,number of 3-5 family houses in the cell,-1,unknown
KBA05_ANTG2,number of 3-5 family houses in the cell,0,no 3-5 family homes
KBA05_ANTG2,number of 3-5 family houses in the cell,1,lower share of 3-5 family homes
KBA05_ANTG2,number of 3-5 family houses in the cell,2,average share of 3-5 family homes
KBA05_ANTG2,number of 3-5 family houses in the cell,3,high share of 3-5 family homes
KBA05_ANTG2,number of 3-5 family houses in the cell,4,very high share of 3-5 family homes
KBA05_ANTG3,number of 6-10 family houses in the cell,-1,unknown
KBA05_ANTG3,number of 6-10 family houses in the cell,0,no 6-10 family homes
KBA05_ANTG3,number of 6-10 family houses in the cell,1,lower share of 6-10 family homes
KBA05_ANTG3,number of 6-10 family houses in the cell,2,average share of 6-10 family homes
KBA05_ANTG3,number of 6-10 family houses in the cell,3,high share of 6-10 family homes
KBA05_ANTG4,number of >10 family houses in the cell,-1,unknown
KBA05_ANTG4,number of >10 family houses in the cell,0,no >10 family homes
KBA05_ANTG4,number of >10 family houses in the cell,1,lower share of >10 family homes
KBA05_ANTG4,number of >10 family houses in the cell,2,high share of >10 family homes
KBA05_AUTOQUOT,share of cars per household,1,very low car quote
KBA05_AUTOQUOT,share of cars per household,2,low car quote
KBA05_AUTOQUOT,share of cars per household,3,average car quote
KBA05_AUTOQUOT,share of cars per household,4,high car quote
KBA05_AUTOQUOT,share of cars per household,5,very high car quote
KBA05_AUTOQUOT,share of cars per household,"-1, 9",unknown
KBA05_BAUMAX,most common building-type within the cell,"-1, 0",unknown
KBA05_BAUMAX,most common building-type within the cell,1,mainly 1-2 family homes in the microcell
KBA05_BAUMAX,most common building-type within the cell,2,mainly 3-5 family homes in the microcell
KBA05_BAUMAX,most common building-type within the cell,3,mainly 6-10 family homes in the microcell
KBA05_BAUMAX,most common building-type within the cell,4,mainly>10 family homes in the microcell
KBA05_BAUMAX,most common building-type within the cell,5,mainly business buildings in the microcell
KBA05_CCM1,share of cars with less than 1399ccm,"-1, 9",unknown
KBA05_CCM1,share of cars with less than 1399ccm,1,very low
KBA05_CCM1,share of cars with less than 1399ccm,2,low
KBA05_CCM1,share of cars with less than 1399ccm,3,average
KBA05_CCM1,share of cars with less than 1399ccm,4,high
KBA05_CCM1,share of cars with less than 1399ccm,5,very high
KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,"-1, 9",unknown
KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,1,very low
KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,2,low
KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,3,average
KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,4,high
KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,5,very high
KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,"-1, 9",unknown
KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,1,very low
KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,2,low
KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,3,average
KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,4,high
KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,5,very high
KBA05_CCM4,share of cars with more than 2499ccm,"-1, 9",unknown
KBA05_CCM4,share of cars with more than 2499ccm,0,none
KBA05_CCM4,share of cars with more than 2499ccm,1,low
KBA05_CCM4,share of cars with more than 2499ccm,2,average
KBA05_CCM4,share of cars with more than 2499ccm,3,high
KBA05_CCM4,share of cars with more than 2499ccm,4,very high
KBA05_DIESEL,share of cars with Diesel-engine in the microcell,"-1, 9",unknown
KBA05_DIESEL,share of cars with Diesel-engine in the microcell,0,none
KBA05_DIESEL,share of cars with Diesel-engine in the microcell,1,very low
KBA05_DIESEL,share of cars with Diesel-engine in the microcell,2,low
KBA05_DIESEL,share of cars with Diesel-engine in the microcell,3,average
KBA05_DIESEL,share of cars with Diesel-engine in the microcell,4,high
KBA05_FRAU,share of female car owners,"-1, 9",unknown
KBA05_FRAU,share of female car owners,1,very low
KBA05_FRAU,share of female car owners,2,low
KBA05_FRAU,share of female car owners,3,average
KBA05_FRAU,share of female car owners,4,high
KBA05_FRAU,share of female car owners,5,very high
KBA05_GBZ,number of buildings in the microcell,"-1, 0",unknown
KBA05_GBZ,number of buildings in the microcell,1,1-2 buildings
KBA05_GBZ,number of buildings in the microcell,2,3-4 buildings
KBA05_GBZ,number of buildings in the microcell,3,5-16 buildings
KBA05_GBZ,number of buildings in the microcell,4,17-22 buildings
KBA05_GBZ,number of buildings in the microcell,5,>=23 buildings
KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ","-1, 9",unknown
KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",0,none
KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",1,very low
KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",2,low
KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",3,average
KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",4,high
KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",5,very high
KBA05_HERST2,share of Volkswagen-Cars (including Audi),"-1, 9",unknown
